0 0 0 0 0 0 0 0 0 0 0 
10 8.99984 7.9997 6.99959 5.99952 4.9995 3.99952 2.99959 1.9997 0.999845 0 
20 17.9997 15.9994 13.9992 11.9991 9.99904 7.99909 5.99923 3.99944 1.9997 0 
30 26.9996 23.9992 20.9989 17.9987 14.9987 11.9987 8.99894 5.99923 2.99959 0 
40 35.9995 31.9991 27.9987 23.9985 19.9985 15.9985 11.9987 7.99909 3.99952 0 
50 44.9995 39.999 34.9987 29.9985 24.9984 19.9985 14.9987 9.99904 4.9995 0 
60 53.9995 47.9991 41.9987 35.9985 29.9985 23.9985 17.9987 11.9991 5.99952 0 
70 62.9996 55.9992 48.9989 41.9987 34.9987 27.9987 20.9989 13.9992 6.99959 0 
80 71.9997 63.9994 55.9992 47.9991 39.999 31.9991 23.9992 15.9994 7.9997 0 
90 80.9998 71.9997 62.9996 53.9995 44.9995 35.9995 26.9996 17.9997 8.99984 0 
100 90 80 70 60 50 40 30 20 10 0 
