0 0 0 0 0 0 0 0 0 0 0 
10 8.9933 7.98727 6.98246 5.97941 4.97832 3.97941 2.98246 1.98727 0.993301 0 
20 17.9873 15.9758 13.9667 11.9608 9.95882 7.96078 5.96668 3.97576 1.98727 0 
30 26.9825 23.9667 20.9541 17.9461 14.9432 11.9461 8.95408 5.96668 2.98246 0 
40 35.9794 31.9608 27.9461 23.9365 19.9334 15.9365 11.9461 7.96078 3.97941 0 
50 44.9783 39.9588 34.9432 29.9334 24.9298 19.9334 14.9432 9.95882 4.97832 0 
60 53.9794 47.9608 41.9461 35.9365 29.9334 23.9365 17.9461 11.9608 5.97941 0 
70 62.9825 55.9667 48.9541 41.9461 34.9432 27.9461 20.9541 13.9667 6.98246 0 
80 71.9873 63.9758 55.9667 47.9608 39.9588 31.9608 23.9667 15.9758 7.98727 0 
90 80.9933 71.9873 62.9825 53.9794 44.9783 35.9794 26.9825 17.9873 8.9933 0 
100 90 80 70 60 50 40 30 20 10 0 
